Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Дата пут-опциона,Цена закрытия,НКД,Дата колл опциона,Доходность колл опциона,Дюрация к дате колл опциона,Дата посл сделки,Дюрация дней,Эффективная доходность,Дюрация средневзвешенная,Z spread,G spread,Маркер КБД
RU000A1092T7 ,Омега01 ,"18,08",553,5014356,RUB,1000,SUR,"76,59","75,51","77,99","76,67","46,05",,- ,- ,05.01.28,,- ,"76,3","10,25",- ,- ,- ,04.09.25,580,46.1534,580,3255,3259,04.09.25 18:49
RU000A10BNE1 ,СИМПЛ1Р03 ,"18,49",70,4995658,RUB,1000,SUR,"104,97","104,38",105,"104,38","18,9",,- ,- ,16.08.26,,- ,"104,57","8,63",- ,- ,- ,04.09.25,312,18.1228,312,509,506,04.09.25 18:49
RU000A10B5T1 ,СберИОС696 ,"0,1",6,4995117,RUB,1000,SUR,"114,7","113,6","115,7","115,7",- ,,- ,- ,26.05.28,,- ,"115,7",- ,- ,- ,- ,04.09.25,993,-4.9012,993,-1866,-1866,04.09.25 18:49
RU000A10BGF2 ,РЖД 1Р-42R ,"14,3",180,4989757,RUB,1000,SUR,"111,13",110,"112,18","110,75","14,48",06.04.29,"14,442",- ,05.04.40,06.04.29,06.04.29,"110,75","6,2",- ,- ,- ,04.09.25,995,14.2993,996,92,98,04.09.25 18:49
RU000A10CLT1 ,СФОРЛО-2 А ,"21,04",151,4964984,RUB,1000,SUR,"101,37","101,21","101,7","101,7","25,1",,- ,- ,23.08.30,,- ,"101,7","3,95",- ,- ,- ,04.09.25,664,25.3257,663,1155,1166,04.09.25 18:49
RU000A10B3Q2 ,БинФарм1P5 ,"19,32",126,4924850,RUB,1000,SUR,"107,09","106,7","107,36","107,09","17,22",16.09.26,"16,9643",- ,05.03.28,16.09.26,16.09.26,"107,09","10,95",- ,- ,- ,04.09.25,335,16.9643,335,323,319,04.09.25 18:49
RU000A1084B2 ,СэтлГрБ2P3 ,"12,74",240,4902367,RUB,1000,SUR,"98,34","98,06","98,63","98,3","20,49",24.03.26,"20,0501",- ,14.03.27,24.03.26,24.03.26,"98,38","5,95",- ,- ,- ,04.09.25,191,19.9578,191,569,566,04.09.25 18:49
RU000A10B8R9 ,Инаркт2Р2 ,"47,37",81,4864223,RUB,1000,SUR,"109,88","109,65","110,98","110,98","14,59",,- ,- ,03.04.28,,- ,"110,29","30,71",- ,- ,- ,04.09.25,754,15.1303,753,111,116,04.09.25 18:49
RU000A106WZ2 ,АПРИ 2Р3 ,"59,84",254,4807211,RUB,1000,SUR,"99,32","99,05","99,45","99,44","36,91",30.09.25,"20,1764",- ,14.09.27,30.09.25,30.09.25,"99,34","51,95",- ,- ,- ,04.09.25,- ,22.2727,0,,,04.09.25 18:49
RU000A102GU5 ,НоваБевБП4 ,"18,45",120,4722453,RUB,500,SUR,"97,71","97,55","97,95","97,65","16,92",,- ,"16,9157",05.12.25,,- ,"97,75","9,12",- ,- ,- ,04.09.25,90,17.7354,90,274,273,04.09.25 18:49
RU000A10C0X3 ,ЕСЭГ1PC7 ,"7,15",11,4702883,CNY,1000,SUR,"102,0484","101,3057","102,75","102,25","6,11",08.07.26,"5,9907",- ,29.06.27,08.07.26,08.07.26,"102,0865","72,7598",- ,- ,- ,04.09.25,294,01.06.87,294,-789,-791,04.09.25 18:49
RU000A10C5P8 ,ПИР 1P4 ,"23,42",241,4699221,RUB,1000,SUR,"100,3","100,22","100,38","100,33","32,26",,- ,- ,07.07.28,,- ,"100,33","10,15",- ,- ,- ,04.09.25,595,32.2881,595,1875,1880,04.09.25 18:49
RU000A10BRM5 ,Акрон Б1P9 ,"6,35",29,4652921,USD,1000,SUR,"104,638","103,7137","105,1876","104,7745","6,33",,- ,- ,12.11.29,,- ,"104,7745",- ,- ,- ,- ,04.09.25,1075,01.06.84,1075,-717,-714,04.09.25 18:49
RU000A105XA5 ,ГазКЗ-27Ф ,77,4,4648655,CHF,5000,SUR,"92,48","92,2","92,7","92,7","5,81",,- ,- ,30.06.27,,- ,"92,7","1376,2995",- ,- ,- ,04.09.25,657,01.05.82,657,-763,-763,04.09.25 18:49
RU000A1098F3 ,Систем1P31 ,- ,229,4642797,RUB,1000,SUR,"93,85","93,51","94,07","94,07","24,9",,- ,- ,08.11.28,,- ,"93,75","12,18",- ,- ,- ,04.09.25,1160,01.02.19,1160,,-1150,04.09.25 18:49
RU000A106KV6 ,АЛЬФАБ2Р24 ,"51,14",133,4594279,RUB,1000,SUR,"97,34","97,28","97,63","97,61","16,75",,- ,"16,754",20.01.26,,- ,"97,31","12,58",- ,- ,- ,04.09.25,137,18.5028,137,284,284,04.09.25 18:49
RU000A106540 ,МВ ФИН 1Р4 ,"62,33",598,4584014,RUB,1000,SUR,"101,6","99,08","102,17",102,"23,14",,- ,- ,17.04.26,,- ,"101,95","32,88",- ,- ,- ,04.09.25,208,23.9644,208,890,886,04.09.25 18:49
RU000A108405 ,iХРОМОС Б1 ,"24,25",448,4583940,RUB,1000,SUR,"103,73","102,01","104,58","103,99","28,25",23.09.26,"27,4971",- ,07.03.28,23.09.26,23.09.26,"103,9","12,12",- ,- ,- ,04.09.25,48,27.8453,49,-9964,1163,04.09.25 18:49
RU000A109X37 ,Сбер SbD3R ,- ,310,4575926,RUB,1000,SUR,"58,52","58,09","58,88","58,59","16,87",,- ,- ,12.11.29,,- ,"58,73",- ,- ,- ,- ,04.09.25,1529,16.9208,1529,,333,04.09.25 18:49
RU000A107TB7 ,Боржоми1Р2 ,"43,01",46,4564557,RUB,1000,SUR,"100,65","100,5","100,9","100,7","17,48",21.08.26,"17,3211",- ,16.02.27,21.08.26,21.08.26,"100,7","7,56",- ,- ,- ,04.09.25,327,17.3855,327,354,353,04.09.25 18:49
RU000A105JH9 ,ГазКЗ-27Д2 ,15,15,4563143,USD,1000,SUR,"95,6618","95,3068","96,1799","96,0748","5,3",,- ,- ,29.06.27,,- ,"95,433","438,2005",- ,- ,- ,04.09.25,645,01.05.74,645,-815,-815,04.09.25 18:49
RU000A10B2P6 ,АйДиКол1P1 ,"21,37",149,4538446,RUB,1000,SUR,"113,55","112,42","113,95","113,81","20,72",,- ,- ,27.02.28,,- ,"113,8","17,1",- ,- ,- ,04.09.25,682,20.8623,681,722,728,04.09.25 18:49
RU000A1094F2 ,ЧеркизБ1P7 ,- ,206,4532660,RUB,1000,SUR,"99,42","99,36","99,5","99,5","21,54",,- ,- ,15.07.27,,- ,"99,47","5,83",- ,- ,- ,04.09.25,678,0.3141,678,,-1317,04.09.25 18:49
RU000A10AA28 ,Акрон Б1P6 ,"17,47",185,4527861,RUB,1000,SUR,"103,64","103,05","103,9","103,75","19,77",,- ,- ,27.07.27,,- ,"103,54","16,88",- ,- ,- ,04.09.25,690,-1.8579,690,,-1535,04.09.25 18:49
RU000A10BBD8 ,ЯТЭК 1P-6 ,"18,29",115,4507140,RUB,1000,SUR,"103,02","102,72","103,06","102,99","21,96",,- ,- ,01.04.27,,- ,"103,03","15,85",- ,- ,- ,04.09.25,573,-1.8673,573,,-1532,04.09.25 18:49
RU000A105VU7 ,ЭталонФин1 ,"34,16",285,4506904,RUB,1000,SUR,"96,34","96,13","96,82","96,48","23,79",20.02.26,"23,5994",- ,03.02.38,20.02.26,20.02.26,"96,4","5,63",- ,- ,- ,04.09.25,164,23.9951,164,903,902,04.09.25 18:49
RU000A1003A4 ,ГТЛК 1P-13 ,"23,86",45,4481820,RUB,1000,SUR,"90,93","90,05","91,62","91,62","17,35",03.02.27,"17,2464",- ,20.01.34,03.02.27,03.02.27,"91,18","8,91",- ,- ,- ,04.09.25,482,17.912,482,372,372,04.09.25 18:49
RU000A108FX8 ,ЕСЭГ1PC5 ,"20,19",35,4480620,CNY,1000,SUR,"101,7573","101,1509","102,7","101,57","6,89",,- ,- ,17.11.26,,- ,"102,1","40,1083",- ,- ,- ,04.09.25,420,01.06.48,420,-670,-671,04.09.25 18:49
RU000A10AT19 ,ИКС5Фин3P9 ,"16,44",133,4473361,RUB,1000,SUR,"100,89","100,78","100,91","100,9","20,02",09.04.26,"-1,5073",- ,19.01.35,09.04.26,09.04.26,"100,9","14,25",- ,- ,- ,04.09.25,216,-1.4907,216,,-1575,04.09.25 18:49
RU000A10BVF1 ,СИБАВТО1Р6 ,"32,05",452,4446942,RUB,1000,SUR,"99,89","99,58","100,08","100,01","29,32",,- ,- ,30.05.30,,- ,"100,06","18,52",- ,- ,- ,04.09.25,977,29.3815,977,1577,1587,04.09.25 18:49
SU29022RMFS9 ,ОФЗ 29022 ,- ,106,4445117,RUB,1000,SUR,"96,738","96,7","96,897","96,737",- ,,- ,- ,20.07.33,,- ,"96,74","17,74",- ,- ,- ,04.09.25,1441,22.8704,1441,926,934,04.09.25 18:49
RU000A1065B1 ,АБЗ-1 1Р04 ,"17,31",443,4420384,RUB,505,SUR,"96,86","96,26","97,02","97,02","24,08",,- ,- ,21.04.26,,- ,"97,02","8,37",- ,- ,- ,04.09.25,133,24.6348,133,949,924,04.09.25 18:49
RU000A106R95 ,iСелкт1Р3R ,"66,32",199,4412153,RUB,1000,SUR,"97,79","97,44","97,89","97,74","16,59",,- ,- ,14.08.26,,- ,"97,86","7,29",- ,- ,- ,04.09.25,331,16.5273,331,281,281,04.09.25 18:49
RU000A10BNM4 ,АБЗ-1 2Р03 ,"20,96",196,4359687,RUB,1000,SUR,"113,5","112,91","113,88","113,7","18,96",,- ,- ,07.05.28,,- ,"113,69","9,78",- ,- ,- ,04.09.25,596,19.0847,596,545,550,04.09.25 18:49
RU000A104SU6 ,МТС 1P-20 ,"29,29",89,4336049,RUB,1000,SUR,"97,77","97,71","98,16","97,81","16,22",,- ,- ,01.05.26,,- ,"97,71","10,95",- ,- ,- ,04.09.25,230,16.2971,230,208,206,04.09.25 18:49
RU000A106A78 ,СЛ 002P-01 ,"30,92",205,4290232,RUB,1000,SUR,"97,13","97,06","97,41","97,1","20,53",,- ,- ,20.02.26,,- ,"97,21","4,42",- ,- ,- ,04.09.25,165,20.4435,165,596,595,04.09.25 18:49
RU000A10BGC9 ,МаниМен2П1 ,"20,96",132,4281150,RUB,1000,SUR,"114,53","113,5","114,91","114,23","21,33",,- ,- ,03.04.29,,- ,"114,62","9,08",- ,- ,- ,04.09.25,829,21.1922,829,781,789,04.09.25 18:49
RU000A10B7B5 ,СберИОС699 ,"0,1",3,4265145,RUB,1000,SUR,"114,1","114,1","114,11","114,1",- ,,- ,- ,05.05.28,,- ,"114,1",- ,- ,- ,- ,04.09.25,972,-4.8172,972,-1827,-1827,04.09.25 18:49
